"%1","%1",module,Magento_Sales
"Please enter a tracking number.","Veuillez renseigner un numéro de suivi.",module,Magento_Sales
"Please enter a Transaction ID.","Veuillez renseigner un ID de transaction.",module,Magento_Sales
"Please enter the city.","Veuillez renseigner la ville.",module,Magento_Sales
"Please enter the country.","Veuillez renseigner le pays.",module,Magento_Sales
"Please enter the first name.","Veuillez renseigner le prénom.",module,Magento_Sales
"Please enter the last name.","Veuillez renseigner le nom.",module,Magento_Sales
"Please enter the phone number.","Veuillez renseigner le numéro de téléphone.",module,Magento_Sales
"Please enter the state/province.","Veuillez renseigner le département.",module,Magento_Sales
"Please enter the street.","Veuillez renseigner la rue.",module,Magento_Sales
"Please enter the zip/postal code.","Veuillez renseigner le code postal.",module,Magento_Sales
"Please select","Faire un Choix",module,Magento_Sales
"Please select a customer.","Sélectionnez un client.",module,Magento_Sales
"Please select a customer","Sélectionnez un client",module,Magento_Sales
"Please select a store.","Sélectionnez un magasin.",module,Magento_Sales
"Please select a store","Sélectionnez un magasin",module,Magento_Sales
"Please select products","Veuillez sélectionner des produits",module,Magento_Sales
"Please select products.","Veuillez sélectionner des produits.",module,Magento_Sales
"Please set a proper payment and order id.","Veuillez définir un paiement et un identifiant de commande appropriés.",module,Magento_Sales
"Please specify a payment method.","Veuillez sélectionner une méthode de paiement.",module,Magento_Sales
"Please specify a shipping method.","Sélectionnez un mode de livraison.",module,Magento_Sales
"Please specify order items.","Veuillez spécifier les articles de la commande.",module,Magento_Sales
"Price","Prix",module,Magento_Sales
"Print","Imprimer",module,Magento_Sales
"Print All","Tout Imprimer",module,Magento_Sales
"Print All Invoices","Imprimer toutes les factures",module,Magento_Sales
"Print All Refunds","Imprimer tous les avoirs",module,Magento_Sales
"Print Credit Memos","Imprimer les avoirs",module,Magento_Sales
"Print Invoice","Imprimer la facture",module,Magento_Sales
"Print Invoices","Imprimer les factures",module,Magento_Sales
"Print Order # %1","Imprimer la commande #%1",module,Magento_Sales
"Print Order","Imprimer la commande",module,Magento_Sales
"Print Packing Slips","Imprimer les bordereaux de livraison",module,Magento_Sales
"Print Refund","Imprimer l'avoir",module,Magento_Sales
"Print Shipping Labels","Imprimer les étiquettes de livraison",module,Magento_Sales
"Processing","En cours de traitement",module,Magento_Sales
"Product","produit",module,Magento_Sales
"Product Name","Nom du produit",module,Magento_Sales
"Products","Produits",module,Magento_Sales
"Products in Comparison List","Produits dans la liste de comparaison",module,Magento_Sales
"Purchase Date","Date d'achat",module,Magento_Sales
"Purchased From: %1","Commandé sur: %1",module,Magento_Sales
"Purchased From","Acheté sur",module,Magento_Sales
"Purchase Point","Acheté sur",module,Magento_Sales
"Qty","Qté",module,Magento_Sales
"Qty Invoiced","Qté facturée",module,Magento_Sales
"Qty Shipped","Qté livrée",module,Magento_Sales
"Qty to Invoice","Qté à Facturer",module,Magento_Sales
"Qty to Refund","Qté à Rembourser",module,Magento_Sales
"Quantity","Quantité",module,Magento_Sales
"Quote item id is not received.","L'identifiant de l'article de la commande n'a pas été reçu.",module,Magento_Sales
"Quote item is not loaded.","L'article n'est pas chargé.",module,Magento_Sales
"Recently Compared Products","Derniers produits comparés",module,Magento_Sales
"Recently Viewed","Vu récemment",module,Magento_Sales
"Recently Viewed Products","Derniers Produits Consultés",module,Magento_Sales
"Recent Orders","Commandes récentes",module,Magento_Sales
"Refresh","Rafraîchir",module,Magento_Sales
"Refund #%1","Remboursement #%1",module,Magento_Sales
"Refund","Rembourser",module,Magento_Sales
"Refund #","Remboursement #",module,Magento_Sales
"Refund Amount","Montant du remboursement",module,Magento_Sales
"Refunded","Remboursé",module,Magento_Sales
"Refund Offline","Remboursement hors ligne",module,Magento_Sales
"Refunds","Remboursements",module,Magento_Sales
"Refund Shipping","Remboursement de livraison",module,Magento_Sales
"Refund Shipping (Excl. Tax)","Remboursement livraison (HT)",module,Magento_Sales
"Refund Shipping (Incl. Tax)","Remboursement livraison (TTC)",module,Magento_Sales
"Refund Totals","Total remboursé",module,Magento_Sales
"Registered a Void notification.","Notifier une annulation.",module,Magento_Sales
"Registered notification about approved payment.","Notification enregistré au sujet de paiement approuvé.",module,Magento_Sales
"Registered notification about captured amount of %1.","Notifier lors d'un encaissement d'un montant de %1.",module,Magento_Sales
"Registered notification about denied payment.","Notification enregistré sur le paiement refusé.",module,Magento_Sales
"Registered notification about refunded amount of %1.","Notifier lors d'un remboursement d'un montant de %1.",module,Magento_Sales
"Registered update about approved payment.","Mise à jour sauvegardée au sujet de paiement approuvé.",module,Magento_Sales
"Registered update about denied payment.","Mise à jour sauvegardée au sujet de paiement refusé.",module,Magento_Sales
"Remove","Supprimer",module,Magento_Sales
"Remove Coupon Code","Supprimer le code de bon de réduction",module,Magento_Sales
"Reorder","Renouveler",module,Magento_Sales
"Requested entity doesn't exist","L'entité demandée n'existe pas",module,Magento_Sales
"Returned","Retourné",module,Magento_Sales
"Return to Stock","Remettre en stock",module,Magento_Sales
"Row Subtotal","Sous-total de la ligne",module,Magento_Sales
"Row Total","Total Ligne",module,Magento_Sales
"Sales","Ventes",module,Magento_Sales
"Sales Emails","Mails des ventes",module,Magento_Sales
"Same As Billing Address","Identique à l'adresse de facturation",module,Magento_Sales
"Save Gift Message","Sauvegarder le message cadeau",module,Magento_Sales
"Save in address book","Sauvegarder dans le carnet d'adresses",module,Magento_Sales
"Save Order Address","Sauvegarder l'adresse de la commande",module,Magento_Sales
"Save Status","Sauvegarder le Statut",module,Magento_Sales
"Save Status Assignment","Sauvegarder l'assignation du statut",module,Magento_Sales
"Search","Rechercher",module,Magento_Sales
"Select","Choisir",module,Magento_Sales
"Select from existing customer addresses:","Sélectionner une adresse client existante:",module,Magento_Sales
"Send Credit Memo Comment Email Copy To","Envoyer une copie du mail de commentaire d'avoir à",module,Magento_Sales
"Send Credit Memo Comments Email Copy Method","Mode de copie d'email pour les commentaires d'avoir",module,Magento_Sales
"Send Credit Memo Email Copy Method","Mode de copie d'email pour les avoirs",module,Magento_Sales
"Send Credit Memo Email Copy To","Envoyer une copie du mail d'avoir à",module,Magento_Sales
"Send Email","Envoyer un Email",module,Magento_Sales
"Send Invoice Comment Email Copy To","Envoyer une copie du mail de commentaire de facture à",module,Magento_Sales
"Send Invoice Comments Email Copy Method","Mode de copie d'email pour les commentaires de facture",module,Magento_Sales
"Send Invoice Email Copy Method","Mode de copie d'email pour les factures",module,Magento_Sales
"Send Invoice Email Copy To","Envoyer une copie du mail de facture à",module,Magento_Sales
"Send Order Comment Email Copy To","Envoyer une copie du mail de commentaire de commande à",module,Magento_Sales
"Send Order Comments Email Copy Method","Mode de copie d'email pour les commentaires de commande",module,Magento_Sales
"Send Order Email Copy Method","Envoyer une copie du mail de commande en utilisant la méthode",module,Magento_Sales
"Send Order Email Copy To","Envoyer une copie du mail de commande à",module,Magento_Sales
"Send Shipment Comment Email Copy To","Envoyer une copie du mail de commentaire de livraison",module,Magento_Sales
"Send Shipment Comments Email Copy Method","Mode de copie d'email pour les commentaires d'expédition",module,Magento_Sales
"Send Shipment Email Copy Method","Mode de copie d'email pour les expéditions",module,Magento_Sales
"Send Shipment Email Copy To","Envoyer une copie du mail de livraison à",module,Magento_Sales
"Set order for existing transactions not allowed","Placez la commande pour des transactions existantes non permise",module,Magento_Sales
"Ship","Expédier",module,Magento_Sales
"Ship Date","Date d'expédition",module,Magento_Sales
"Shipment #%1","Livraison #%1",module,Magento_Sales
"Shipment #%1 comment added","Commentaire ajouté pour l'expédition #%1",module,Magento_Sales
"Shipment #%1 created","Livraison #%1 créée",module,Magento_Sales
"Shipment","Expédition",module,Magento_Sales
"Shipment Comment Email Sender","Expéditeur du mail de commentaire de livraison",module,Magento_Sales
"Shipment Comment Email Template","Gabarit du mail de commentaire de livraison",module,Magento_Sales
"Shipment Comment Email Template for Guest","Gabarit de mail de commentaire d'expédition pour un invité",module,Magento_Sales
"Shipment Comments","Commentaires de Livraison",module,Magento_Sales
"Shipment Email Sender","Expéditeur du mail d'expédition",module,Magento_Sales
"Shipment Email Template","Gabarit de mail de livraison",module,Magento_Sales
"Shipment Email Template for Guest","Gabarit de mail d'expédition pour un invité",module,Magento_Sales
"Shipments","Expéditions",module,Magento_Sales
"Shipped","Livré",module,Magento_Sales
"Shipped By","Livré par",module,Magento_Sales
"Shipping","Livraison",module,Magento_Sales
"Shipping Address","Adresse de Livraison",module,Magento_Sales
"Shipping Address: ","Adresse de Livraison: ",module,Magento_Sales
"Shipping Amount","Montant de la livraison",module,Magento_Sales
"Shipping &amp; Handling","Frais de port",module,Magento_Sales
"Shipping and Handling","Livraison et frais de traitement",module,Magento_Sales
"Shipping Excl. Tax (%1)","Livraison HT (%1)",module,Magento_Sales
"Shipping & Handling","Frais de port",module,Magento_Sales
"Shipping Incl. Tax (%1)","Livraison TTC (%1)",module,Magento_Sales
"Shipping Info","Informations de Livraison",module,Magento_Sales
"Shipping Information","Informations de livraison",module,Magento_Sales
"Shipping Method","Méthode de Livraison",module,Magento_Sales
"Shipping Method:","Méthode de Livraison:",module,Magento_Sales
"Shipping Refund","Remboursement de la livraison",module,Magento_Sales
"Ship To","Livré à",module,Magento_Sales
"Ship to:","Livré à:",module,Magento_Sales
"Ship-to Name","Nom de livraison",module,Magento_Sales
"Shopping Cart","Panier",module,Magento_Sales
"Shopping Cart Price Rule","Règle de prix panier",module,Magento_Sales
"Show Actual Values","Montrer les valeurs actuelles",module,Magento_Sales
"Signed-up Point","Point d'inscription",module,Magento_Sales
"SKU","SKU",module,Magento_Sales
"Sku","SKU",module,Magento_Sales
"Sold to:","Vendu à:",module,Magento_Sales
"Something went wrong while assigning the order status.","Une erreur s'est produite lors de l'attribution du statut de la commande.",module,Magento_Sales
"Something went wrong while saving the gift message.","Une erreur s'est produite lors de l'enregistrement du message cadeau.",module,Magento_Sales
"Something went wrong while unassigning the order.","Une erreur s'est produite lors de l'attribution du statut de la commande.",module,Magento_Sales
"Sorry, no quotes are available for this order.","Désolé, aucun panier disponible pour cette commande.",module,Magento_Sales
"Specified","Spécifié",module,Magento_Sales
"State Code and Title","Code et titre de l'état",module,Magento_Sales
"State/Province","État/Province",module,Magento_Sales
"Status","Statut",module,Magento_Sales
"Status can't be unassigned, because it is used by existing order(s).","Le statut ne peut pas être retiré car il est utiilsé par des commandes existantes.",module,Magento_Sales
"Status Code","Code du statut",module,Magento_Sales
"Status Label","Libellé du statut",module,Magento_Sales
"Store View Specific Labels","Libellés spécifiques par vue magasin",module,Magento_Sales
"Street Address","Adresse",module,Magento_Sales
"Submit Comment","Envoyer un commentaire",module,Magento_Sales
"Submit Invoice","Soumettre la facture",module,Magento_Sales
"Submit Invoice and Shipment","Soumettre la facture et l'expédition",module,Magento_Sales
"Submit Order","Envoyer la commande",module,Magento_Sales
"Subscribe to Newsletter","S'abonner à la newsletter",module,Magento_Sales
"Subscribe to Order Status","S'abonner au statut de commande",module,Magento_Sales
"Subtotal:","Sous-Total:",module,Magento_Sales
"Subtotal","Sous-Total",module,Magento_Sales
"Subtotal after discount","Sous-total après remise",module,Magento_Sales
"Subtotal (Excl. Tax)","Sous-total (HT)",module,Magento_Sales
"Subtotal (Incl. Tax)","Sous-total (TTC)",module,Magento_Sales
"Suspected Fraud","Fraude suspectée",module,Magento_Sales
"Tax","Taxe",module,Magento_Sales
"Tax Amount","Montant TVA",module,Magento_Sales
"Tax Percent","Pourcentahe de la taxe",module,Magento_Sales
"Telephone","Téléphone",module,Magento_Sales
"Template","Gabarit",module,Magento_Sales
"test message","testMessage",module,Magento_Sales
"Thank you for your order from %store_name.","Merci pour votre commande sur %store_name.",module,Magento_Sales
"The Comment Text field cannot be empty.","Le champ texte du commentaire ne peut pas être vide.",module,Magento_Sales
"The coupon code has been accepted.","Le code promo a été retenue.",module,Magento_Sales
"the credit memo email is not sent","l'email n'a pas été envoyé",module,Magento_Sales
"The credit memo email wasn't sent.","L'e-mail de l'avoir n'a pas été envoyé.",module,Magento_Sales
"The credit memo email was sent","L'e-mail de l'avoir a été envoyé",module,Magento_Sales
"The credit memo email was sent.","L'e-mail de l'avoir a été envoyé.",module,Magento_Sales
"The credit memo has been canceled.","L'avoir a été annulé.",module,Magento_Sales
"The credit memo has been created automatically.","L'avoir a été créé automatiquement.",module,Magento_Sales
"The credit memo's total must be positive.","Le total de l'avoir doit être positif.",module,Magento_Sales
"The gift message has been saved.","Le message cadeau a bien été sauvegardé.",module,Magento_Sales
"The invoice and the shipment  have been created. The shipping label cannot be created now.","La facture et l'expédition ont été créées. L'étiquette d'expédition ne peut pas être créée pour le moment.",module,Magento_Sales
"The invoice and the shipment  have been created. ' 'The shipping label cannot be created now.","La facture et l'expédition ont été créées. L'étiquette d'expédition ne peut pas être créée pour le moment.",module,Magento_Sales
"the invoice email is not sent","l'email n'a pas été envoyé",module,Magento_Sales
"The invoice email wasn't sent.","L'email de la facture n'a pas été envoyé.",module,Magento_Sales
"The invoice email was sent.","L'email de la facture a été envoyé.",module,Magento_Sales
"the invoice email was sent","L'email de la facture a été envoyé",module,Magento_Sales
"The invoice has been captured.","La facture a été capturée.",module,Magento_Sales
"The invoice has been created.","La facture a été créée.",module,Magento_Sales
"The invoice has been voided.","La facture a été invalidée.",module,Magento_Sales
"The invoice no longer exists.","La facture n'existe plus.",module,Magento_Sales
"The invoice will be created offline without the payment gateway.","La facture a été créée hors ligne sans la passerelle de paiement.",module,Magento_Sales
"The last status can't be unassigned from its current state.","Le dernier statut ne peut pas être retiré de son état actuel.",module,Magento_Sales
"The most money available to refund is %1.","Le remboursement maximal est de %1.",module,Magento_Sales
"The order amount of %1 is pending approval on the payment gateway.","Le montant de la commande de %1 est en attente d'approbation de la passerelle de paiement.",module,Magento_Sales
"the order confirmation email is not sent","L'email de confirmation n'a pas été envoyé",module,Magento_Sales
"The order confirmation email is not sent","L'email de confirmation n'a pas été envoyé",module,Magento_Sales
"The order confirmation email was sent","L'email de confirmation a été envoyé",module,Magento_Sales
"the order confirmation email was sent","L'email de confirmation a été envoyé",module,Magento_Sales
"The order does not allow an invoice to be created.","La commande ne permet pas la création d'une facture.",module,Magento_Sales
"The order no longer exists.","La commande n'existe plus.",module,Magento_Sales
"The order object is not specified.","L'objet commande n'est pas spécifié.",module,Magento_Sales
"The Order State ""%1"" must not be set manually.","L'état de la commande ""%1"" ne peut être modifié manuellement.",module,Magento_Sales
"The order was not on hold.","La commande n'est pas bloquée.",module,Magento_Sales
"The order was placed using %1.","Commande passée en utilisant %1.",module,Magento_Sales
"The parent transaction ID must have a transaction ID.","L'identifiant de la transaction parent doit avoir un identifiant de transaction.",module,Magento_Sales
"The payment disallows storing objects.","Cette méthode de paiement interdit le stockage d'objets.",module,Magento_Sales
"The payment has been accepted.","Le paiement a été accepté.",module,Magento_Sales
"The payment has been denied.","Le paiement a été refusé.",module,Magento_Sales
"The payment has been voided.","Le paiement a été annulé.",module,Magento_Sales
"The payment method you requested is not available.","La méthode de paiement demandée n'est pas disponible.",module,Magento_Sales
"The payment update has been made.","La mise à jour du paiement a été effectuée.",module,Magento_Sales
"The PDF total model %1 must be or extend MagentoSalesModelOrderPdfTotalDefaultTotal.","Le modèle du total PDF %1 doit être une instance de ou étendre \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.",module,Magento_Sales
"There are no printable documents related to selected orders.","Il n'y a pas de documents imprimables en relation avec les commandes sélectionnées.",module,Magento_Sales
"There is an error in one of the option rows.","Erreur dans une des lignes d'option.",module,Magento_Sales
"There is no need to approve this payment.","Il n'est pas nécessaire d'approuver ce paiement.",module,Magento_Sales
"There is no need to deny this payment.","Il n'est pas nécessaire de refuser ce paiement.",module,Magento_Sales
"There is no update for the payment.","Il n'ya pas de mise à jour pour le paiement.",module,Magento_Sales
"There is no update for the transaction.","Aucune mise à jour pour la transaction.",module,Magento_Sales
"The source object is not specified.","L'object source n'est pas spécifié.",module,Magento_Sales
"The total model should be extended from MagentoSalesModelOrderTotalAbstractTotal.","Le modèle du total doit étendre \Magento\Sales\Model\Order\Total\AbstractTotal.",module,Magento_Sales
"The transaction ""%1"" cannot be captured yet.","La transaction ""%1"" ne peut être capturée pour le moment.",module,Magento_Sales
"The transaction ""%1"" (%2) is already closed.","La transaction ""%1"" (%2) est déjà close.",module,Magento_Sales
"The transaction details have been updated.","Les détails de la transaction ont été mis à jour.",module,Magento_Sales
"The Transaction ID field cannot be empty.","Le champs ID de la transaction ne peut être vide.",module,Magento_Sales
"This item price or quantity is not valid for checkout.","Le prix ou la quantité de cet article est invalide pour commander.",module,Magento_Sales
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","Ce message sera affiché dans le panier lorsque le sous-total (après remise) est inférieur au montant minimum autorisé.",module,Magento_Sales
"This order already has associated customer account","Cette commande est déjà associée à un compte client",module,Magento_Sales
"This order contains (%1) items and therefore cannot be edited through the admin interface. ' 'If you wish to continue editing, the (%2) items will be removed, ' ' the order will be canceled and a new order will be placed.","Cette commande contient (%1) articles et ne peut donc pas être modifiée dans l'interface d'administration. Si vous souhaitez continuer à l'éditer, les (%2) articles seront supprimés, la commande sera annulée et une nouvelle commande sera créée.",module,Magento_Sales
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","Cette commande contient (%1) articles et ne peut donc pas être modifiée dans l'interface d'administration. Si vous souhaitez continuer à l'éditer, les (%2) articles seront supprimés, la commande sera annulée et une nouvelle commande sera créée.",module,Magento_Sales
"This order no longer exists.","Cette commande n'existe plus.",module,Magento_Sales
"This payment method is not available.","La méthode de paiement n'est pas disponible.",module,Magento_Sales
"This product does not have any configurable options","Ce produit n'a aucune option configurable",module,Magento_Sales
"This product is disabled.","Ce produit est désactivé.",module,Magento_Sales
"This will create an offline refund. ' 'To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","Cela créera un remboursement hors ligne. Si vous désirez créer un remboursement en ligne, ouvrez une facture et créez un avoir pour celle-ci. Voulez-vous continuer ?",module,Magento_Sales
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","Cela créera un remboursement hors ligne. Si vous désirez créer un remboursement en ligne, ouvrez une facture et créez un avoir pour celle-ci. Voulez-vous continuer ?",module,Magento_Sales
"Tier Pricing","Tarification par palier",module,Magento_Sales
"Title","Titre",module,Magento_Sales
"title","Titre",module,Magento_Sales
"To:","À:",module,Magento_Sales
"To","À",module,Magento_Sales
"To Name","Destiné à",module,Magento_Sales
"Total: %1<br/>","Total: %1<br/>",module,Magento_Sales
"Total %1 product(s)","%1 produit(s) au total",module,Magento_Sales
"Total","Total",module,Magento_Sales
"Total Due","Total dû",module,Magento_Sales
"Total (ex)","Total (HT)",module,Magento_Sales
"Total (inc)","Total (TTC)",module,Magento_Sales
"Total incl. tax","Total TTC",module,Magento_Sales
"Total Paid","Total payé",module,Magento_Sales
"Total Quantity","quantité totale",module,Magento_Sales
"Total Refund","Remboursement total",module,Magento_Sales
"Total Refunded","Total Remboursé",module,Magento_Sales
"Total Shipping Charges","Montant total de la livraison",module,Magento_Sales
"Total Tax","TVA",module,Magento_Sales
"Tracking number %1 for %2 assigned","Numéro de suivi %1 assigné à %2",module,Magento_Sales
"Tracking Number","Numéro de suivi",module,Magento_Sales
"Transaction # %1 | %2","Transaction # %1 | %2",module,Magento_Sales
"Transaction Data","Données de transaction",module,Magento_Sales
"Transaction Details","Détail de la transaction",module,Magento_Sales
"Transaction has been approved.","La transaction a été approuvée.",module,Magento_Sales
"Transaction has been voided/declined.","La transaction a été annulée/déclinée.",module,Magento_Sales
"Transaction ID: ""%1""","  ID de transaction: ""%1""",module,Magento_Sales
" Transaction ID: ""%1""","   ID de transaction: ""%1""",module,Magento_Sales
"Transaction ID","ID Transaction",module,Magento_Sales
"Transactions","Transactions",module,Magento_Sales
"Transaction Type","Type de transaction",module,Magento_Sales
"Unassign","Annuler l'assignation",module,Magento_Sales
"unhold","Débloquer",module,Magento_Sales
"Unhold","Débloquer",module,Magento_Sales
"Unknown State","État inconnu",module,Magento_Sales
"Unknown Status","Statut inconnu",module,Magento_Sales
"Update Changes","Mettre à jour les modifications",module,Magento_Sales
"Update Items and Qty's","Mettre à jour les articles et quantités",module,Magento_Sales
"Update Items and Quantities","Mettre à jour les articles et les quantités",module,Magento_Sales
"Update Qty's","Mettre à jour les quantités",module,Magento_Sales
"Use Aggregated Data (beta)","Utiliser les données agrégées (beta)",module,Magento_Sales
"Use Order Status As Default","Utiliser ce statut comme valeur par défaut",module,Magento_Sales
"Validate Each Address Separately in Multi-address Checkout","Valider séparément les adresses lors de commandes multi-adresses",module,Magento_Sales
"Validation is failed.","La validation est échoué.",module,Magento_Sales
"Value","Valeur",module,Magento_Sales
"VAT Request Date","Date de demande de TVA",module,Magento_Sales
"VAT Request Identifier","Identifiant de demande de TVA",module,Magento_Sales
"View","Voir",module,Magento_Sales
"View All","Tout voir",module,Magento_Sales
"View Another Order","Voir une Autre Commande",module,Magento_Sales
"View Memo","Voir l'avoir",module,Magento_Sales
"View Memo for #%1","Voir l'avoir pour #%1",module,Magento_Sales
"View Order","Voir la Commande",module,Magento_Sales
"Visible on Frontend","Visible sur le site coté client",module,Magento_Sales
"Visible On Frontend","Visible sur le site coté client",module,Magento_Sales
"Visible On Storefront","Visible sur le front office",module,Magento_Sales
"Visible on Storefront","Visible sur le front office",module,Magento_Sales
"Void","annulé",module,Magento_Sales
"Voided authorization.","Autorisation refusée.",module,Magento_Sales
"Website","Site Web",module,Magento_Sales
"We canceled %1 order(s).","Annulation de %1 commande(s).",module,Magento_Sales
"We cannot add order history.","Impossible d'ajouter un commentaire à l'historique.",module,Magento_Sales
"We cannot add this item to your shopping cart.","Impossible d'ajouter cet article dans le panier.",module,Magento_Sales
"We cannot cancel this order.","Impossible d'annuler cette commande.",module,Magento_Sales
"We cannot create an empty shipment.","Impossible de créer une expédition vide.",module,Magento_Sales
"We cannot determine the field name.","Impossible de déterminer le nom du champ.",module,Magento_Sales
"We cannot register an existing credit memo.","Nous ne pouvons pas sauvegarder un avoir existant.",module,Magento_Sales
"We cannot register an existing invoice","Impossible de sauvegarder une facture existante",module,Magento_Sales
"We cannot register an existing shipment","Impossible de sauvegarder une expédition existante",module,Magento_Sales
"We can't add the order status right now.","Impossible d'attribuer le statut de commande.",module,Magento_Sales
"We can't add this item to your shopping cart right now.","Impossible d'ajouter ce produit au panier.",module,Magento_Sales
"We can't create credit memo for the order.","Impossible de créer l'avoir pour la commande.",module,Magento_Sales
"We can't find this order status.","Impossible de trouver ce statut de commande.",module,Magento_Sales
"We can't find this wish list.","Impossible de trouver cette liste d'envies.",module,Magento_Sales
"We can't get the order instance right now.","Impossible de récupérer l'instance de la commande.",module,Magento_Sales
"We can't save the credit memo right now.","Impossible de sauvegarder l'avoir.",module,Magento_Sales
"We can't save the invoice.","Impossible de sauvegarder la facture.",module,Magento_Sales
"We can't save the invoice right now.","Impossible de sauvegarder la facture.",module,Magento_Sales
"We can't send the email order right now.","Impossible d'envoyer l'email de la commande.",module,Magento_Sales
"We can't send the invoice email.","Impossible d'envoyer l'email de la facture.",module,Magento_Sales
"We can't send the invoice email right now.","Impossible d'envoyer l'email de la facture.",module,Magento_Sales
"We can't send the shipment right now.","Impossible d'envoyer l'email de l'expédition.",module,Magento_Sales
"We can't update the item's quantity right now.","Impossible de mettre à jour la quantité de l'article.",module,Magento_Sales
"We can't update the order address right now.","Impossible de mettre à jour l'adresse de la commande.",module,Magento_Sales
"We can't update the payment right now.","Impossible de mettre à jour le paiement.",module,Magento_Sales
"We can't update the transaction details.","Impossible de mettre à jour les détails de la transaction.",module,Magento_Sales
"We can't void the credit memo.","Impossible d'annuler l'avoir.",module,Magento_Sales
"We can't void the payment right now.","Impossible d'annuler le paiement.",module,Magento_Sales
"We could not add a product to cart by the ID ""%1"".","Impossible d'ajouter le produit avec l'ID ""%1"" au panier.",module,Magento_Sales
"We couldn't find this wish list.","Nous ne pouvons pas trouver cette liste d'envies.",module,Magento_Sales
"We couldn't send the email order.","Nous ne pouvons pas envoyer l'email de commande.",module,Magento_Sales
"We couldn't update the payment.","Nous ne pouvons pas mettre à jour le paiement.",module,Magento_Sales
"We don't have enough information to save the parent transaction ID.","Nous n'avons pas assez d'information pour sauvegarder l'identifiant de transaction parent.",module,Magento_Sales
"We don't recognize the draw line data. Please define the ""lines"" array.","Ligne non reconnue. Veuillez définir un jeu de lignes.",module,Magento_Sales
"We found an invalid entity model.","Modèle d'entité invalide.",module,Magento_Sales
"We found an invalid quantity to invoice item ""%1"".","Il y a une quantité invalide sur l'article de la facture ""%1"".",module,Magento_Sales
"We found an invalid quantity to refund item ""%1"".","Quantité invalide pour le remboursement de l'article ""%1"".",module,Magento_Sales
"We found an invalid quantity to ship for item ""%1"".","Quantité à livrer invalide pour l'article ""%1"".",module,Magento_Sales
"We found an invalid renderer model.","Modèle de rendu invalide.",module,Magento_Sales
"We found another order status with the same order status code.","Un statut de commande avec le même code existe déjà.",module,Magento_Sales
"We found an unsupported transaction type ""%1"".","Type de transaction non pris en charge: ""%1"".",module,Magento_Sales
"We'll use the default description above if you leave this empty.","La description par défaut sera utilisée si ce champ est laissé vide.",module,Magento_Sales
"We'll use the default error above if you leave this empty.","Le message d'erreur par défaut sera utilisé si ce champ est laissé vide.",module,Magento_Sales
"We refunded %1 offline.","Remboursement de %1 hors ligne.",module,Magento_Sales
"We refunded %1 online.","Remboursement de %1 en ligne.",module,Magento_Sales
"We sent the message.","Message envoyé.",module,Magento_Sales
"We will authorize %1 after the payment is approved at the payment gateway.","Nous autoriserons %1 une fois que le paiement aura été approuvé par la passerelle de paiement.",module,Magento_Sales
"Wish List","Liste d'enVies",module,Magento_Sales
"Yes","oui",module,Magento_Sales
"You assigned the order status.","Statut de commande assigné.",module,Magento_Sales
"You canceled the invoice.","La facture a été annulée.",module,Magento_Sales
"You canceled the order.","Commande annulée.",module,Magento_Sales
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Vous pouvez suivre le statut de votre commande en <a href=""%account_url"">vous connectant à votre compte</a>.",module,Magento_Sales
"You can not cancel Credit Memo","Vous ne pouvez pas annuler l'avoir",module,Magento_Sales
"You cannot cancel the order(s).","Impossible d'annuler les commandes.",module,Magento_Sales
"You cannot remove the hold.","Impossible de débloquer.",module,Magento_Sales
"You can't create an invoice without products.","Impossible de créer une facture sans produit.",module,Magento_Sales
"You can't do this without a transaction object.","Opération impossible sans un objet transaction.",module,Magento_Sales
"You created the credit memo.","Avoir créé.",module,Magento_Sales
"You created the invoice and shipment.","La facture et l'expédition ont été créés.",module,Magento_Sales
"You created the order.","La commande a été créée.",module,Magento_Sales
"You did not email your customer. Please check your email settings.","L'email client n'a pas été envoyé. Veuillez vérifier les paramètres des emails.",module,Magento_Sales
"You don't need to select a shipping address.","Il n'est pas nécessaire de sélectionner une adresse de livraison.",module,Magento_Sales
"You don't need to select a shipping method.","Il n'est pas nécessaire de sélectionner une méthode de livraison.",module,Magento_Sales
"You entered incorrect data. Please try again.","Données saisies incorrectes. Veuillez essayer à nouveau.",module,Magento_Sales
"You have item changes","Des articles ont changés",module,Magento_Sales
"You have not canceled the item.","L'article n'a pas été annulé.",module,Magento_Sales
"You have not put the order on hold.","La commande n'a pas été bloquée.",module,Magento_Sales
"You have placed no orders.","Vous n'avez encore jamais commandé.",module,Magento_Sales
"You have put %1 order(s) on hold.","%1 commande(s) bloquée(s).",module,Magento_Sales
"You have saved the order status.","Statut commande sauvegardé.",module,Magento_Sales
"You have unassigned the order status.","Staut de commande retiré.",module,Magento_Sales
"You need to specify a shipping method.","Vous devez spécifier une méthode de livraison.",module,Magento_Sales
"You need to specify order items.","Vous devez spécifier les articles de la commande.",module,Magento_Sales
